time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z,joint_pos_1,joint_pos_2,joint_pos_3,joint_vel_1,joint_vel_2,joint_vel_3,joint_acc_1,joint_acc_2,joint_acc_3
0.00000,0.78333,0.00000,0.40451,-0.04199,0.49218,0.34803,0.06153,-0.05277,-3.72264,0.00000,0.07071,0.10000,0.62832,0.44429,0.00000,-0.00000,-2.79155,-3.94784
0.00100,0.78329,0.00049,0.40486,-0.04193,0.49212,0.34430,0.06818,-0.07168,-3.73568,0.00063,0.07115,0.10000,0.62831,0.44149,-0.00395,-0.02480,-2.80903,-3.94776
0.00200,0.78325,0.00098,0.40520,-0.04186,0.49204,0.34055,0.07482,-0.09058,-3.74857,0.00126,0.07159,0.09999,0.62827,0.43867,-0.00790,-0.04961,-2.82640,-3.94753
0.00300,0.78321,0.00148,0.40554,-0.04178,0.49194,0.33680,0.08144,-0.10945,-3.76132,0.00188,0.07203,0.09998,0.62821,0.43584,-0.01184,-0.07441,-2.84367,-3.94714
0.00400,0.78316,0.00197,0.40588,-0.04169,0.49182,0.33303,0.08805,-0.12830,-3.77392,0.00251,0.07247,0.09997,0.62812,0.43298,-0.01579,-0.09921,-2.86082,-3.94659
0.00500,0.78312,0.00246,0.40621,-0.04160,0.49168,0.32925,0.09464,-0.14713,-3.78638,0.00314,0.07290,0.09995,0.62801,0.43011,-0.01974,-0.12400,-2.87785,-3.94589
0.00600,0.78308,0.00295,0.40654,-0.04150,0.49153,0.32546,0.10122,-0.16593,-3.79869,0.00377,0.07333,0.09993,0.62787,0.42723,-0.02368,-0.14879,-2.89478,-3.94504
0.00700,0.78304,0.00344,0.40686,-0.04140,0.49135,0.32165,0.10778,-0.18471,-3.81085,0.00440,0.07375,0.09990,0.62771,0.42432,-0.02763,-0.17358,-2.91159,-3.94402
0.00800,0.78300,0.00393,0.40718,-0.04129,0.49116,0.31784,0.11433,-0.20346,-3.82288,0.00502,0.07417,0.09987,0.62752,0.42140,-0.03157,-0.19836,-2.92828,-3.94286
0.00900,0.78296,0.00443,0.40749,-0.04117,0.49094,0.31401,0.12085,-0.22219,-3.83475,0.00565,0.07459,0.09984,0.62731,0.41847,-0.03551,-0.22313,-2.94486,-3.94153
0.01000,0.78292,0.00492,0.40781,-0.04105,0.49071,0.31017,0.12736,-0.24090,-3.84648,0.00628,0.07501,0.09980,0.62708,0.41551,-0.03945,-0.24789,-2.96132,-3.94005
0.01100,0.78287,0.00541,0.40812,-0.04092,0.49046,0.30632,0.13384,-0.25957,-3.85806,0.00691,0.07543,0.09976,0.62682,0.41254,-0.04339,-0.27264,-2.97767,-3.93842
0.01200,0.78283,0.00590,0.40842,-0.04078,0.49019,0.30245,0.14030,-0.27823,-3.86950,0.00753,0.07584,0.09972,0.62653,0.40956,-0.04733,-0.29738,-2.99389,-3.93663
0.01300,0.78279,0.00639,0.40872,-0.04063,0.48990,0.29858,0.14674,-0.29685,-3.88078,0.00816,0.07624,0.09967,0.62622,0.40656,-0.05126,-0.32211,-3.01000,-3.93468
0.01400,0.78275,0.00688,0.40902,-0.04048,0.48960,0.29469,0.15316,-0.31545,-3.89192,0.00879,0.07665,0.09961,0.62589,0.40354,-0.05520,-0.34682,-3.02599,-3.93258
0.01500,0.78271,0.00737,0.40931,-0.04033,0.48927,0.29079,0.15955,-0.33401,-3.90292,0.00941,0.07705,0.09956,0.62553,0.40051,-0.05913,-0.37152,-3.04186,-3.93032
0.01600,0.78267,0.00786,0.40960,-0.04017,0.48893,0.28688,0.16591,-0.35255,-3.91376,0.01004,0.07745,0.09950,0.62515,0.39746,-0.06306,-0.39621,-3.05762,-3.92791
0.01700,0.78263,0.00834,0.40988,-0.04000,0.48857,0.28296,0.17225,-0.37106,-3.92446,0.01066,0.07785,0.09943,0.62474,0.39439,-0.06699,-0.42088,-3.07325,-3.92534
0.01800,0.78259,0.00883,0.41016,-0.03982,0.48819,0.27904,0.17855,-0.38955,-3.93501,0.01129,0.07824,0.09936,0.62430,0.39131,-0.07091,-0.44554,-3.08876,-3.92262
0.01900,0.78255,0.00932,0.41044,-0.03964,0.48779,0.27509,0.18483,-0.40800,-3.94541,0.01191,0.07863,0.09929,0.62385,0.38821,-0.07483,-0.47018,-3.10414,-3.91974
0.02000,0.78251,0.00981,0.41071,-0.03945,0.48737,0.27114,0.19108,-0.42642,-3.95566,0.01253,0.07902,0.09921,0.62336,0.38510,-0.07875,-0.49480,-3.11941,-3.91671
0.02100,0.78247,0.01030,0.41098,-0.03926,0.48694,0.26718,0.19730,-0.44481,-3.96576,0.01316,0.07940,0.09913,0.62286,0.38197,-0.08266,-0.51940,-3.13455,-3.91353
0.02200,0.78243,0.01078,0.41125,-0.03906,0.48648,0.26321,0.20348,-0.46317,-3.97572,0.01378,0.07978,0.09905,0.62233,0.37883,-0.08658,-0.54397,-3.14957,-3.91018
0.02300,0.78240,0.01127,0.41151,-0.03885,0.48601,0.25923,0.20964,-0.48150,-3.98552,0.01440,0.08016,0.09896,0.62177,0.37567,-0.09048,-0.56853,-3.16446,-3.90669
0.02400,0.78236,0.01175,0.41177,-0.03864,0.48552,0.25524,0.21575,-0.49979,-3.99518,0.01502,0.08053,0.09887,0.62119,0.37250,-0.09439,-0.59307,-3.17923,-3.90304
0.02500,0.78232,0.01224,0.41202,-0.03842,0.48501,0.25124,0.22184,-0.51806,-4.00468,0.01564,0.08090,0.09877,0.62058,0.36932,-0.09829,-0.61758,-3.19387,-3.89924
0.02600,0.78228,0.01272,0.41227,-0.03819,0.48448,0.24723,0.22788,-0.53629,-4.01404,0.01626,0.08127,0.09867,0.61995,0.36612,-0.10219,-0.64207,-3.20839,-3.89528
0.02700,0.78224,0.01321,0.41251,-0.03796,0.48394,0.24321,0.23390,-0.55449,-4.02324,0.01688,0.08163,0.09856,0.61930,0.36290,-0.10608,-0.66653,-3.22278,-3.89117
0.02800,0.78220,0.01369,0.41276,-0.03773,0.48337,0.23919,0.23987,-0.57265,-4.03229,0.01750,0.08200,0.09846,0.61862,0.35967,-0.10997,-0.69096,-3.23704,-3.88690
0.02900,0.78217,0.01417,0.41299,-0.03748,0.48279,0.23515,0.24580,-0.59078,-4.04120,0.01812,0.08235,0.09834,0.61792,0.35643,-0.11385,-0.71537,-3.25118,-3.88249
0.03000,0.78213,0.01466,0.41323,-0.03723,0.48219,0.23110,0.25169,-0.60888,-4.04995,0.01874,0.08271,0.09823,0.61719,0.35317,-0.11774,-0.73975,-3.26518,-3.87791
0.03100,0.78209,0.01514,0.41346,-0.03698,0.48158,0.22705,0.25755,-0.62694,-4.05855,0.01935,0.08306,0.09811,0.61644,0.34990,-0.12161,-0.76410,-3.27906,-3.87319
0.03200,0.78205,0.01562,0.41368,-0.03672,0.48094,0.22299,0.26336,-0.64496,-4.06701,0.01997,0.08341,0.09799,0.61566,0.34661,-0.12548,-0.78842,-3.29281,-3.86831
0.03300,0.78202,0.01610,0.41390,-0.03645,0.48029,0.21892,0.26913,-0.66295,-4.07531,0.02059,0.08375,0.09786,0.61486,0.34331,-0.12935,-0.81271,-3.30643,-3.86328
0.03400,0.78198,0.01658,0.41412,-0.03618,0.47961,0.21484,0.27485,-0.68091,-4.08345,0.02120,0.08409,0.09773,0.61404,0.34000,-0.13321,-0.83697,-3.31992,-3.85810
0.03500,0.78195,0.01706,0.41433,-0.03590,0.47892,0.21075,0.28053,-0.69882,-4.09145,0.02181,0.08443,0.09759,0.61319,0.33667,-0.13706,-0.86119,-3.33327,-3.85276
0.03600,0.78191,0.01754,0.41454,-0.03562,0.47822,0.20665,0.28617,-0.71671,-4.09930,0.02243,0.08477,0.09745,0.61231,0.33333,-0.14091,-0.88539,-3.34650,-3.84728
0.03700,0.78187,0.01802,0.41474,-0.03533,0.47749,0.20255,0.29176,-0.73455,-4.10699,0.02304,0.08510,0.09731,0.61142,0.32998,-0.14476,-0.90954,-3.35959,-3.84164
0.03800,0.78184,0.01849,0.41494,-0.03504,0.47675,0.19844,0.29730,-0.75236,-4.11453,0.02365,0.08543,0.09716,0.61049,0.32661,-0.14860,-0.93366,-3.37255,-3.83585
0.03900,0.78180,0.01897,0.41514,-0.03474,0.47599,0.19432,0.30280,-0.77013,-4.12192,0.02426,0.08575,0.09701,0.60955,0.32323,-0.15243,-0.95774,-3.38538,-3.82991
0.04000,0.78177,0.01945,0.41533,-0.03443,0.47521,0.19020,0.30824,-0.78786,-4.12915,0.02487,0.08607,0.09686,0.60858,0.31984,-0.15626,-0.98179,-3.39807,-3.82381
0.04100,0.78174,0.01992,0.41552,-0.03412,0.47441,0.18606,0.31364,-0.80556,-4.13624,0.02548,0.08639,0.09670,0.60758,0.31644,-0.16008,-1.00579,-3.41063,-3.81757
0.04200,0.78170,0.02039,0.41571,-0.03380,0.47360,0.18192,0.31898,-0.82321,-4.14317,0.02608,0.08671,0.09654,0.60657,0.31302,-0.16389,-1.02976,-3.42306,-3.81117
0.04300,0.78167,0.02087,0.41589,-0.03348,0.47276,0.17778,0.32428,-0.84083,-4.14995,0.02669,0.08702,0.09637,0.60553,0.30959,-0.16770,-1.05369,-3.43535,-3.80463
0.04400,0.78163,0.02134,0.41606,-0.03316,0.47191,0.17362,0.32952,-0.85840,-4.15657,0.02730,0.08733,0.09620,0.60446,0.30615,-0.17150,-1.07757,-3.44750,-3.79793
0.04500,0.78160,0.02181,0.41623,-0.03282,0.47105,0.16946,0.33471,-0.87594,-4.16304,0.02790,0.08763,0.09603,0.60337,0.30269,-0.17530,-1.10141,-3.45952,-3.79109
0.04600,0.78157,0.02228,0.41640,-0.03249,0.47016,0.16530,0.33985,-0.89344,-4.16936,0.02850,0.08793,0.09585,0.60226,0.29923,-0.17908,-1.12521,-3.47140,-3.78409
0.04700,0.78154,0.02275,0.41656,-0.03214,0.46926,0.16112,0.34493,-0.91090,-4.17552,0.02910,0.08823,0.09567,0.60112,0.29575,-0.18286,-1.14896,-3.48315,-3.77695
0.04800,0.78150,0.02322,0.41672,-0.03180,0.46834,0.15695,0.34996,-0.92832,-4.18153,0.02970,0.08852,0.09549,0.59996,0.29226,-0.18664,-1.17267,-3.49475,-3.76965
0.04900,0.78147,0.02369,0.41688,-0.03144,0.46740,0.15276,0.35493,-0.94569,-4.18739,0.03030,0.08881,0.09530,0.59877,0.28876,-0.19040,-1.19634,-3.50622,-3.76221
0.05000,0.78144,0.02416,0.41703,-0.03109,0.46645,0.14857,0.35984,-0.96303,-4.19309,0.03090,0.08910,0.09511,0.59757,0.28525,-0.19416,-1.21995,-3.51755,-3.75462
0.05100,0.78141,0.02462,0.41717,-0.03072,0.46548,0.14438,0.36470,-0.98032,-4.19864,0.03150,0.08938,0.09491,0.59633,0.28173,-0.19791,-1.24352,-3.52874,-3.74688
0.05200,0.78138,0.02509,0.41732,-0.03036,0.46449,0.14017,0.36949,-0.99758,-4.20404,0.03209,0.08966,0.09471,0.59508,0.27819,-0.20165,-1.26703,-3.53980,-3.73899
0.05300,0.78135,0.02555,0.41745,-0.02999,0.46348,0.13597,0.37423,-1.01479,-4.20928,0.03269,0.08994,0.09451,0.59380,0.27465,-0.20539,-1.29050,-3.55071,-3.73096
0.05400,0.78132,0.02601,0.41759,-0.02961,0.46246,0.13176,0.37891,-1.03195,-4.21436,0.03328,0.09021,0.09430,0.59250,0.27109,-0.20912,-1.31392,-3.56148,-3.72278
0.05500,0.78129,0.02648,0.41772,-0.02923,0.46142,0.12754,0.38353,-1.04908,-4.21929,0.03387,0.09048,0.09409,0.59117,0.26753,-0.21284,-1.33728,-3.57211,-3.71445
0.05600,0.78126,0.02694,0.41784,-0.02884,0.46036,0.12332,0.38808,-1.06616,-4.22407,0.03446,0.09075,0.09387,0.58982,0.26395,-0.21655,-1.36060,-3.58260,-3.70597
0.05700,0.78123,0.02740,0.41796,-0.02845,0.45929,0.11909,0.39258,-1.08320,-4.22869,0.03505,0.09101,0.09365,0.58845,0.26036,-0.22025,-1.38385,-3.59295,-3.69735
0.05800,0.78121,0.02785,0.41808,-0.02806,0.45819,0.11486,0.39701,-1.10020,-4.23316,0.03564,0.09127,0.09343,0.58706,0.25676,-0.22394,-1.40706,-3.60316,-3.68858
0.05900,0.78118,0.02831,0.41819,-0.02766,0.45709,0.11062,0.40138,-1.11716,-4.23747,0.03623,0.09152,0.09321,0.58564,0.25315,-0.22762,-1.43021,-3.61323,-3.67967
0.06000,0.78115,0.02877,0.41830,-0.02725,0.45596,0.10639,0.40569,-1.13406,-4.24162,0.03681,0.09178,0.09298,0.58420,0.24954,-0.23130,-1.45330,-3.62315,-3.67061
0.06100,0.78112,0.02922,0.41841,-0.02685,0.45482,0.10214,0.40993,-1.15093,-4.24562,0.03740,0.09202,0.09274,0.58273,0.24591,-0.23497,-1.47633,-3.63293,-3.66141
0.06200,0.78110,0.02968,0.41851,-0.02643,0.45366,0.09789,0.41410,-1.16775,-4.24947,0.03798,0.09227,0.09251,0.58124,0.24227,-0.23862,-1.49931,-3.64257,-3.65206
0.06300,0.78107,0.03013,0.41860,-0.02602,0.45248,0.09364,0.41821,-1.18453,-4.25316,0.03856,0.09251,0.09227,0.57973,0.23862,-0.24227,-1.52222,-3.65206,-3.64257
0.06400,0.78104,0.03058,0.41869,-0.02560,0.45129,0.08939,0.42225,-1.20126,-4.25669,0.03914,0.09274,0.09202,0.57820,0.23497,-0.24591,-1.54508,-3.66141,-3.63293
0.06500,0.78102,0.03103,0.41878,-0.02517,0.45008,0.08513,0.42623,-1.21794,-4.26007,0.03971,0.09298,0.09178,0.57664,0.23130,-0.24954,-1.56788,-3.67061,-3.62315
0.06600,0.78099,0.03148,0.41886,-0.02475,0.44885,0.08087,0.43014,-1.23459,-4.26329,0.04029,0.09321,0.09152,0.57506,0.22762,-0.25315,-1.59061,-3.67967,-3.61323
0.06700,0.78097,0.03193,0.41894,-0.02431,0.44761,0.07660,0.43397,-1.25118,-4.26636,0.04086,0.09343,0.09127,0.57346,0.22394,-0.25676,-1.61328,-3.68858,-3.60316
0.06800,0.78095,0.03238,0.41902,-0.02388,0.44635,0.07233,0.43774,-1.26773,-4.26927,0.04144,0.09365,0.09101,0.57184,0.22025,-0.26036,-1.63589,-3.69735,-3.59295
0.06900,0.78092,0.03282,0.41909,-0.02344,0.44507,0.06806,0.44144,-1.28423,-4.27202,0.04201,0.09387,0.09075,0.57019,0.21655,-0.26395,-1.65843,-3.70597,-3.58260
0.07000,0.78090,0.03327,0.41915,-0.02299,0.44378,0.06379,0.44508,-1.30069,-4.27462,0.04258,0.09409,0.09048,0.56852,0.21284,-0.26753,-1.68091,-3.71445,-3.57211
0.07100,0.78088,0.03371,0.41922,-0.02255,0.44247,0.05952,0.44864,-1.31710,-4.27706,0.04315,0.09430,0.09021,0.56683,0.20912,-0.27109,-1.70332,-3.72278,-3.56148
0.07200,0.78085,0.03415,0.41927,-0.02210,0.44115,0.05524,0.45212,-1.33346,-4.27934,0.04371,0.09451,0.08994,0.56511,0.20539,-0.27465,-1.72566,-3.73096,-3.55071
0.07300,0.78083,0.03459,0.41933,-0.02164,0.43981,0.05096,0.45554,-1.34977,-4.28147,0.04428,0.09471,0.08966,0.56338,0.20165,-0.27819,-1.74794,-3.73899,-3.53980
0.07400,0.78081,0.03503,0.41938,-0.02119,0.43845,0.04667,0.45889,-1.36604,-4.28344,0.04484,0.09491,0.08938,0.56162,0.19791,-0.28173,-1.77015,-3.74688,-3.52874
0.07500,0.78079,0.03547,0.41942,-0.02073,0.43707,0.04239,0.46216,-1.38226,-4.28525,0.04540,0.09511,0.08910,0.55984,0.19416,-0.28525,-1.79228,-3.75462,-3.51755
0.07600,0.78077,0.03591,0.41946,-0.02026,0.43568,0.03810,0.46536,-1.39843,-4.28691,0.04596,0.09530,0.08881,0.55803,0.19040,-0.28876,-1.81435,-3.76221,-3.50622
0.07700,0.78075,0.03634,0.41950,-0.01979,0.43428,0.03382,0.46848,-1.41455,-4.28841,0.04652,0.09549,0.08852,0.55621,0.18664,-0.29226,-1.83634,-3.76965,-3.49475
0.07800,0.78073,0.03678,0.41953,-0.01932,0.43285,0.02953,0.47153,-1.43063,-4.28975,0.04707,0.09567,0.08823,0.55436,0.18286,-0.29575,-1.85826,-3.77695,-3.48315
0.07900,0.78071,0.03721,0.41956,-0.01885,0.43142,0.02524,0.47451,-1.44665,-4.29093,0.04762,0.09585,0.08793,0.55249,0.17908,-0.29923,-1.88011,-3.78409,-3.47140
0.08000,0.78069,0.03764,0.41958,-0.01838,0.42996,0.02094,0.47741,-1.46263,-4.29196,0.04818,0.09603,0.08763,0.55060,0.17530,-0.30269,-1.90189,-3.79109,-3.45952
0.08100,0.78067,0.03807,0.41960,-0.01790,0.42849,0.01665,0.48023,-1.47856,-4.29283,0.04873,0.09620,0.08733,0.54869,0.17150,-0.30615,-1.92359,-3.79793,-3.44750
0.08200,0.78066,0.03850,0.41961,-0.01742,0.42700,0.01236,0.48298,-1.49443,-4.29355,0.04927,0.09637,0.08702,0.54675,0.16770,-0.30959,-1.94521,-3.80463,-3.43535
0.08300,0.78064,0.03892,0.41962,-0.01693,0.42550,0.00807,0.48566,-1.51026,-4.29410,0.04982,0.09654,0.08671,0.54480,0.16389,-0.31302,-1.96676,-3.81117,-3.42306
0.08400,0.78062,0.03935,0.41963,-0.01644,0.42398,0.00377,0.48825,-1.52604,-4.29450,0.05036,0.09670,0.08639,0.54282,0.16008,-0.31644,-1.98822,-3.81757,-3.41063
0.08500,0.78061,0.03977,0.41963,-0.01595,0.42245,-0.00052,0.49077,-1.54176,-4.29474,0.05090,0.09686,0.08607,0.54082,0.15626,-0.31984,-2.00961,-3.82381,-3.39807
0.08600,0.78059,0.04019,0.41963,-0.01546,0.42090,-0.00482,0.49321,-1.55744,-4.29482,0.05144,0.09701,0.08575,0.53880,0.15243,-0.32323,-2.03093,-3.82991,-3.38538
0.08700,0.78057,0.04061,0.41962,-0.01497,0.41934,-0.00911,0.49558,-1.57306,-4.29475,0.05198,0.09716,0.08543,0.53676,0.14860,-0.32661,-2.05216,-3.83585,-3.37255
0.08800,0.78056,0.04103,0.41961,-0.01447,0.41775,-0.01341,0.49786,-1.58863,-4.29451,0.05252,0.09731,0.08510,0.53470,0.14476,-0.32998,-2.07331,-3.84164,-3.35959
0.08900,0.78055,0.04145,0.41959,-0.01397,0.41616,-0.01770,0.50007,-1.60415,-4.29412,0.05305,0.09745,0.08477,0.53261,0.14091,-0.33333,-2.09437,-3.84728,-3.34650
0.09000,0.78053,0.04186,0.41957,-0.01347,0.41455,-0.02200,0.50220,-1.61962,-4.29357,0.05358,0.09759,0.08443,0.53051,0.13706,-0.33667,-2.11536,-3.85276,-3.33327
0.09100,0.78052,0.04228,0.41955,-0.01297,0.41292,-0.02629,0.50425,-1.63504,-4.29287,0.05411,0.09773,0.08409,0.52838,0.13321,-0.34000,-2.13626,-3.85810,-3.31992
0.09200,0.78051,0.04269,0.41952,-0.01246,0.41128,-0.03058,0.50622,-1.65040,-4.29200,0.05464,0.09786,0.08375,0.52623,0.12935,-0.34331,-2.15708,-3.86328,-3.30643
0.09300,0.78049,0.04310,0.41949,-0.01196,0.40962,-0.03487,0.50811,-1.66572,-4.29098,0.05516,0.09799,0.08341,0.52407,0.12548,-0.34661,-2.17781,-3.86831,-3.29281
0.09400,0.78048,0.04351,0.41945,-0.01145,0.40794,-0.03916,0.50991,-1.68097,-4.28979,0.05569,0.09811,0.08306,0.52188,0.12161,-0.34990,-2.19846,-3.87319,-3.27906
0.09500,0.78047,0.04392,0.41941,-0.01094,0.40626,-0.04345,0.51164,-1.69618,-4.28845,0.05621,0.09823,0.08271,0.51967,0.11774,-0.35317,-2.21902,-3.87791,-3.26518
0.09600,0.78046,0.04432,0.41936,-0.01042,0.40455,-0.04774,0.51329,-1.71133,-4.28695,0.05673,0.09834,0.08235,0.51744,0.11385,-0.35643,-2.23949,-3.88249,-3.25118
0.09700,0.78045,0.04472,0.41931,-0.00991,0.40283,-0.05203,0.51486,-1.72643,-4.28530,0.05724,0.09846,0.08200,0.51519,0.10997,-0.35967,-2.25987,-3.88690,-3.23704
0.09800,0.78044,0.04513,0.41926,-0.00939,0.40110,-0.05631,0.51635,-1.74147,-4.28348,0.05776,0.09856,0.08163,0.51292,0.10608,-0.36290,-2.28017,-3.89117,-3.22278
0.09900,0.78043,0.04553,0.41920,-0.00888,0.39935,-0.06059,0.51775,-1.75646,-4.28151,0.05827,0.09867,0.08127,0.51063,0.10219,-0.36612,-2.30037,-3.89528,-3.20839
0.10000,0.78042,0.04592,0.41914,-0.00836,0.39759,-0.06487,0.51908,-1.77139,-4.27938,0.05878,0.09877,0.08090,0.50832,0.09829,-0.36932,-2.32048,-3.89924,-3.19387
0.10100,0.78041,0.04632,0.41907,-0.00784,0.39581,-0.06915,0.52032,-1.78627,-4.27708,0.05929,0.09887,0.08053,0.50599,0.09439,-0.37250,-2.34050,-3.90304,-3.17923
0.10200,0.78041,0.04672,0.41900,-0.00732,0.39401,-0.07343,0.52148,-1.80110,-4.27464,0.05979,0.09896,0.08016,0.50364,0.09048,-0.37567,-2.36043,-3.90669,-3.16446
0.10300,0.78040,0.04711,0.41892,-0.00680,0.39221,-0.07770,0.52256,-1.81586,-4.27203,0.06029,0.09905,0.07978,0.50127,0.08658,-0.37883,-2.38027,-3.91018,-3.14957
0.10400,0.78039,0.04750,0.41884,-0.00627,0.39038,-0.08197,0.52355,-1.83057,-4.26926,0.06079,0.09913,0.07940,0.49888,0.08266,-0.38197,-2.40001,-3.91353,-3.13455
0.10500,0.78039,0.04789,0.41876,-0.00575,0.38854,-0.08624,0.52447,-1.84523,-4.26633,0.06129,0.09921,0.07902,0.49647,0.07875,-0.38510,-2.41966,-3.91671,-3.11941
0.10600,0.78038,0.04828,0.41867,-0.00522,0.38669,-0.09050,0.52530,-1.85983,-4.26325,0.06179,0.09929,0.07863,0.49404,0.07483,-0.38821,-2.43921,-3.91974,-3.10414
0.10700,0.78038,0.04866,0.41858,-0.00470,0.38482,-0.09477,0.52605,-1.87437,-4.26001,0.06228,0.09936,0.07824,0.49159,0.07091,-0.39131,-2.45867,-3.92262,-3.08876
0.10800,0.78037,0.04905,0.41848,-0.00417,0.38294,-0.09902,0.52672,-1.88885,-4.25660,0.06277,0.09943,0.07785,0.48912,0.06699,-0.39439,-2.47803,-3.92534,-3.07325
0.10900,0.78037,0.04943,0.41838,-0.00364,0.38105,-0.10328,0.52730,-1.90328,-4.25304,0.06326,0.09950,0.07745,0.48663,0.06306,-0.39746,-2.49729,-3.92791,-3.05762
0.11000,0.78037,0.04981,0.41828,-0.00312,0.37914,-0.10753,0.52780,-1.91765,-4.24932,0.06374,0.09956,0.07705,0.48413,0.05913,-0.40051,-2.51645,-3.93032,-3.04186
0.11100,0.78036,0.05019,0.41817,-0.00259,0.37721,-0.11178,0.52822,-1.93196,-4.24545,0.06423,0.09961,0.07665,0.48160,0.05520,-0.40354,-2.53551,-3.93258,-3.02599
0.11200,0.78036,0.05056,0.41805,-0.00206,0.37527,-0.11602,0.52856,-1.94621,-4.24141,0.06471,0.09967,0.07624,0.47906,0.05126,-0.40656,-2.55447,-3.93468,-3.01000
0.11300,0.78036,0.05094,0.41793,-0.00153,0.37332,-0.12026,0.52881,-1.96040,-4.23721,0.06518,0.09972,0.07584,0.47649,0.04733,-0.40956,-2.57334,-3.93663,-2.99389
0.11400,0.78036,0.05131,0.41781,-0.00100,0.37135,-0.12450,0.52898,-1.97453,-4.23286,0.06566,0.09976,0.07543,0.47391,0.04339,-0.41254,-2.59210,-3.93842,-2.97767
0.11500,0.78036,0.05168,0.41769,-0.00047,0.36937,-0.12873,0.52907,-1.98860,-4.22835,0.06613,0.09980,0.07501,0.47131,0.03945,-0.41551,-2.61075,-3.94005,-2.96132
0.11600,0.78036,0.05205,0.41755,0.00006,0.36737,-0.13295,0.52907,-2.00262,-4.22367,0.06660,0.09984,0.07459,0.46869,0.03551,-0.41847,-2.62931,-3.94153,-2.94486
0.11700,0.78036,0.05242,0.41742,0.00058,0.36537,-0.13717,0.52899,-2.01657,-4.21884,0.06707,0.09987,0.07417,0.46605,0.03157,-0.42140,-2.64776,-3.94286,-2.92828
0.11800,0.78036,0.05278,0.41728,0.00111,0.36334,-0.14139,0.52883,-2.03046,-4.21385,0.06753,0.09990,0.07375,0.46339,0.02763,-0.42432,-2.66611,-3.94402,-2.91159
0.11900,0.78036,0.05314,0.41714,0.00164,0.36130,-0.14560,0.52859,-2.04429,-4.20870,0.06800,0.09993,0.07333,0.46072,0.02368,-0.42723,-2.68435,-3.94504,-2.89478
0.12000,0.78036,0.05350,0.41699,0.00217,0.35925,-0.14981,0.52826,-2.05805,-4.20340,0.06845,0.09995,0.07290,0.45802,0.01974,-0.43011,-2.70248,-3.94589,-2.87785
0.12100,0.78036,0.05386,0.41684,0.00270,0.35719,-0.15401,0.52785,-2.07176,-4.19793,0.06891,0.09997,0.07247,0.45531,0.01579,-0.43298,-2.72051,-3.94659,-2.86082
0.12200,0.78037,0.05422,0.41668,0.00323,0.35511,-0.15820,0.52736,-2.08540,-4.19231,0.06937,0.09998,0.07203,0.45258,0.01184,-0.43584,-2.73843,-3.94714,-2.84367
0.12300,0.78037,0.05457,0.41652,0.00375,0.35302,-0.16239,0.52679,-2.09898,-4.18652,0.06982,0.09999,0.07159,0.44984,0.00790,-0.43867,-2.75625,-3.94753,-2.82640
0.12400,0.78037,0.05492,0.41636,0.00428,0.35091,-0.16658,0.52613,-2.11250,-4.18058,0.07026,0.10000,0.07115,0.44707,0.00395,-0.44149,-2.77395,-3.94776,-2.80903
0.12500,0.78038,0.05527,0.41619,0.00481,0.34879,-0.17075,0.52539,-2.12595,-4.17448,0.07071,0.10000,0.07071,0.44429,0.00000,-0.44429,-2.79155,-3.94784,-2.79155
0.12600,0.78038,0.05562,0.41601,0.00533,0.34666,-0.17493,0.52457,-2.13934,-4.16822,0.07115,0.10000,0.07026,0.44149,-0.00395,-0.44707,-2.80903,-3.94776,-2.77395
0.12700,0.78039,0.05597,0.41584,0.00585,0.34451,-0.17909,0.52366,-2.15267,-4.16181,0.07159,0.09999,0.06982,0.43867,-0.00790,-0.44984,-2.82640,-3.94753,-2.75625
0.12800,0.78039,0.05631,0.41566,0.00638,0.34235,-0.18325,0.52268,-2.16593,-4.15523,0.07203,0.09998,0.06937,0.43584,-0.01184,-0.45258,-2.84367,-3.94714,-2.73843
0.12900,0.78040,0.05665,0.41547,0.00690,0.34018,-0.18740,0.52161,-2.17912,-4.14850,0.07247,0.09997,0.06891,0.43298,-0.01579,-0.45531,-2.86082,-3.94659,-2.72051
0.13000,0.78041,0.05699,0.41528,0.00742,0.33800,-0.19155,0.52046,-2.19225,-4.14160,0.07290,0.09995,0.06845,0.43011,-0.01974,-0.45802,-2.87785,-3.94589,-2.70248
0.13100,0.78042,0.05733,0.41509,0.00794,0.33580,-0.19568,0.51923,-2.20532,-4.13455,0.07333,0.09993,0.06800,0.42723,-0.02368,-0.46072,-2.89478,-3.94504,-2.68435
0.13200,0.78042,0.05766,0.41489,0.00846,0.33359,-0.19981,0.51792,-2.21831,-4.12734,0.07375,0.09990,0.06753,0.42432,-0.02763,-0.46339,-2.91159,-3.94402,-2.66611
0.13300,0.78043,0.05799,0.41469,0.00898,0.33136,-0.20394,0.51653,-2.23124,-4.11998,0.07417,0.09987,0.06707,0.42140,-0.03157,-0.46605,-2.92828,-3.94286,-2.64776
0.13400,0.78044,0.05832,0.41448,0.00949,0.32912,-0.20805,0.51506,-2.24411,-4.11245,0.07459,0.09984,0.06660,0.41847,-0.03551,-0.46869,-2.94486,-3.94153,-2.62931
